"","symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj","ensgene"
"305","FOCAD",613.410928073233,0.934255902589181,0.108122392881687,2.69467410564927e-19,1.70078571772514e-17,"ENSG00000188352"
"306","GRM1",57.9657446753787,0.931877456467687,0.186534526772327,2.20163511403521e-08,2.93399249393708e-07,"ENSG00000152822"
"307","PPP1R15A",31231.6073259037,0.928740653061151,0.10865247049592,5.89575194572196e-19,3.49599400677738e-17,"ENSG00000087074"
"308","SNX9",7614.54759279742,0.92763576864726,0.143077273165818,3.72644570483364e-12,9.24913713180423e-11,"ENSG00000130340"
"309","SLC24A1",445.261192330763,0.924367224711671,0.154156825618439,8.05574331770613e-11,1.6202832307441e-09,"ENSG00000074621"
"310","SLAMF1",92.7542945189179,0.924156846435712,0.151899045889667,4.70202938453635e-11,9.75291901373184e-10,"ENSG00000117090"
"311","ZFX",2904.18025955245,0.924024351390394,0.0920028423776751,4.8053798771631e-25,6.21858467625837e-23,"ENSG00000005889"
"312","PDE6A",103.784718870018,0.922540279549183,0.248728716919475,6.78980191532113e-06,5.70931606904976e-05,"ENSG00000132915"
"313","UXT-AS1",54.9170383360992,0.920813861975169,0.126267169681511,1.30148592206071e-14,4.50470025460436e-13,"ENSG00000267064"
"314","FGF13",179.541920462324,0.918266803261719,0.222213863002663,1.23615783522653e-06,1.20147300980733e-05,"ENSG00000129682"
"315","ARNT2",218.621196410596,0.917300094442274,0.201918826905828,1.98043120281269e-07,2.22067315689776e-06,"ENSG00000172379"
"316","OPRM1",227.317808824357,0.916780048300149,0.251527435383576,8.65654012142964e-06,7.09064369182071e-05,"ENSG00000112038"
"317","HHLA2",55.3070462510115,0.91608343039469,0.286083322567519,4.07466257655535e-05,0.000291719753567164,"ENSG00000114455"
"318","ENPP2",140.691762392169,0.910930703139167,0.184109067576859,2.73773132489348e-08,3.57660696768307e-07,"ENSG00000136960"
"319","SH2D7",53.2764955717801,0.907319469265804,0.189585130126124,6.12761049378373e-08,7.56970996359049e-07,"ENSG00000183476"
"320","BLM",207.083680767138,0.90410869925277,0.112613111935704,4.1323994143142e-17,1.95467242181446e-15,"ENSG00000197299"
