	baseMean	log2FoldChange	lfcSE	pvalue	padj
FAM49A	4747.00887353644	0.327510700394078	0.118176087328976	0.00081935948325642	0.00424022654111773
CD47	2207.65208276907	0.327410535926484	0.0781767634522328	5.72974399705487e-06	4.90208783714765e-05
ING1	195.246964738165	0.32704970612736	0.124627606330851	0.00124465499168862	0.0061606978852502
SRSF5	4993.46601322149	0.326185562753737	0.0691017482107268	5.35127561074736e-07	5.54420176066151e-06
C4orf33	233.207187712689	0.324896847186223	0.117818115903309	0.000856891390846801	0.00441889655590571
RHOU	2536.97050131412	0.323693474053801	0.111960500848693	0.000580121814821859	0.00313625498207424
NFATC1	1647.61684014775	0.323277668215732	0.122466576499425	0.00120200031568333	0.00596679336441502
C7orf31	130.440580122525	0.321581757853058	0.103813296139926	0.000308145828074457	0.00179006452808019
AC026471.1	108.620531899212	0.321494439907156	0.0939409475081402	0.000105438811172707	0.000686553474268864
TBC1D4	106.127775816546	0.320697105617268	0.123001592359974	0.00132350105830793	0.00649936939755225
DNM1L	434.730580483629	0.320339852161418	0.066649724899186	3.51344483576921e-07	3.76328167312792e-06
SCARB2	551.467985904414	0.320238729360146	0.117187841351962	0.000928836112826486	0.00474707696411271
POMGNT1	178.488320713201	0.320195852993868	0.0914513928341989	8.00848994920048e-05	0.000536576649934058
TMEM2	3663.29682609902	0.320004634641275	0.0654098983306362	2.31101476771607e-07	2.56065912011448e-06
TANK	2373.78273907431	0.319861210795048	0.0956598326930375	0.000137952130846175	0.000875270750629327
EIF2B3	120.773463297979	0.319546499730577	0.0853847364026243	3.33115967816635e-05	0.00024228328574744
AP3B1	2542.3157177718	0.31841096860729	0.0586233685567006	1.4044504619913e-08	1.92781672487878e-07
AC112220.4	119.278640328037	0.318181027112692	0.10851405423397	0.000516772228469113	0.00283398330836367
WRAP53	137.019169120549	0.318029298121274	0.0867162881679619	4.39866948836471e-05	0.000313281493224618
KANSL1L	800.568180867624	0.31794444338111	0.0749869065016964	4.55334366237239e-06	3.96150525145768e-05
RAB21	3579.87163464262	0.317431332440673	0.0657999805914171	3.20325134467167e-07	3.46712780999286e-06
KHDRBS3	77.5419673120717	0.316832088272158	0.127017386120775	0.00182111052270484	0.00853751882323419
UBE2E1	1724.20459438249	0.316776382750675	0.097241404765909	0.000184268531561907	0.00113246992395992
CCNL1	3237.4547557541	0.316719890256177	0.0905645960627786	8.1244523640284e-05	0.000543284796367398
NOD1	165.082690766082	0.316596273400849	0.109202235958247	0.000572236045509155	0.00309932320936993
SRGAP2B	321.449452145649	0.316592924000856	0.126574681544921	0.00178862232736277	0.00839860634591886
JMJD1C	5698.32234141698	0.316346567001074	0.100174800410564	0.000255335187804231	0.00151755540850949
DDX3X	12080.7453603741	0.315802986073417	0.0939745110697591	0.000130473088846184	0.000833990144796233
HDAC9	1008.94228153415	0.31533432122444	0.112904504508631	0.000786390639530572	0.00408708608208665
GTPBP4	1002.43993656233	0.312979971478415	0.0895740671194095	8.20920140833263e-05	0.000547800802047426
ARMCX1	82.6915784076432	0.311649065691845	0.127026654906149	0.00206035030413099	0.00949255885754572
SRP54	767.66230561877	0.311505892706193	0.0665066592347488	6.17401480276224e-07	6.33598646292448e-06
MFN1	586.935714798048	0.311326123335062	0.117878360634303	0.00122704086387599	0.00607643629725929
GTPBP1	1797.09778695677	0.310903745237222	0.083747505757598	3.70773999770287e-05	0.000267217016436898
FAM107B	8746.85371270016	0.310812139886532	0.100165788826664	0.00030582985704596	0.00177841781958298
TSPAN14	7673.35964212113	0.310395340906055	0.0698252791825739	1.83756703445618e-06	1.72884221769412e-05
YTHDC1	1724.65940263268	0.309311936386409	0.0552906226511808	5.53705075142313e-09	8.14369951831896e-08
ANKLE2	2332.14023094852	0.308815265580322	0.0933644541907102	0.000156283917434322	0.000978307844578221
CERS6	1185.94612953785	0.308810048328392	0.0499031249893098	1.62210041275801e-10	3.14278136468068e-09
IFT27	124.010897156481	0.308315053682974	0.109198962631228	0.000726207008730908	0.00381768917006826
AP000442.2	48.4978558532829	0.307623060227596	0.119491471941362	0.00149094197160038	0.00718950597788833
CASP1	3864.41641763505	0.307169392535794	0.0686776969617311	1.61439270832395e-06	1.5321837807414e-05
BCL10	2446.64074947445	0.305477908013773	0.0658684896322226	7.54813740481493e-07	7.60869044965324e-06
SUSD6	10085.8970628658	0.305006149009911	0.0825003099395231	3.90768675696937e-05	0.000280350637069044
CHMP4B	5230.11547656092	0.304603806086668	0.0776804815555229	1.6487153679553e-05	0.000127773888553854
DXO	75.1760667630641	0.304380166766179	0.0838274361045488	4.98902406644303e-05	0.000350944261976002
ACTR1B	664.290162509215	0.302983551175847	0.0792883334226188	2.43134715895381e-05	0.000181785607349686
GK	1686.28271797461	0.30182637892053	0.0982615702597249	0.000339950008576949	0.00195113288046843
MAPK6	2558.01394250769	0.301649067320495	0.0710194875509537	4.28237113427823e-06	3.74475429064636e-05
SMIM20	260.058633621302	0.300636400486689	0.117635149092409	0.00159330891345343	0.00761354486837386
EIF4E	1184.53649208382	0.300391167756617	0.0893767864084394	0.000130252889491227	0.000832841346852541
CCDC82	406.469930826106	0.299330606185121	0.0829565668561573	5.40131056272912e-05	0.000377504640416829
RDX	1531.01878232362	0.299069566921847	0.109503630951339	0.000966345170213677	0.00491193631974225
NFE2L2	9623.08230499821	0.298775035340757	0.0742588344289519	1.08398833077207e-05	8.75358865540274e-05
ATG7	6843.45030926213	0.298521993537599	0.0921793920045727	0.000197321585345844	0.00120334586250032
TLR5	373.872376573762	0.298520216548102	0.0950116048368868	0.000271392611262873	0.00160142654698735
ARHGEF2	5250.25401874154	0.296629558529435	0.0860624614402048	9.64569351779241e-05	0.000632875605300053
RABGGTA	343.625664181687	0.295838427918751	0.0914943042287439	0.000200720180539494	0.00122117635564182
RAB9A	604.08143761604	0.294758373297478	0.0954744106212442	0.000324415952997009	0.00187084715495136
DNTTIP2	2712.15930190098	0.294725091851524	0.107102827476821	0.000914804786046867	0.004687007788272
SWT1	395.939598842912	0.294645601528342	0.0924894342700904	0.000235240788263229	0.00140788669555096
MAP2K3	9009.49938427678	0.292470421347691	0.0750636568760279	1.78456768284737e-05	0.000137216982968114
PLCB2	3862.48778228711	0.291183189713713	0.110477922658648	0.00129084536478807	0.00634961372839573
PCF11	2461.22814589441	0.291051295985701	0.0615314687011744	4.66887347892875e-07	4.91389978017585e-06
KIF1B	2359.51606337972	0.290890349142272	0.0983988671528885	0.000492960756359671	0.0027188588592474
NUMA1	1198.83927067104	0.290311154776442	0.0924386441773624	0.000273121338456561	0.0016107035425859
ADNP2	2350.29410829149	0.289083080861469	0.0711767235024079	9.09333168990077e-06	7.41301081027727e-05
CD44	64409.9632481817	0.288974851741035	0.0652986157593844	1.90019252244241e-06	1.77881534766947e-05
WDR11	1392.52066659744	0.288787041315143	0.0801121563522967	5.41312709359954e-05	0.000377996410552636
ATP11C	1343.32202288554	0.287932762411471	0.0777877670350857	3.76586100667302e-05	0.000270931314941622
ID2	2175.10890946217	0.287198687692522	0.0924318107346114	0.000304873003729146	0.00177405738821576
METTL8	87.9895732103616	0.287032837008945	0.0934851223495386	0.000343568954283034	0.0019702549619085
CDK14	3543.34902434343	0.286879297876416	0.109428273464166	0.00135341348842303	0.0066257044819872
MED30	278.401590007538	0.286480345740359	0.102367064028516	0.000803372206627608	0.00416797441340637
EIF2AK3	417.27723877828	0.286383018736588	0.109415509660393	0.00137109829975023	0.00669952947415357
N4BP2	476.168753302942	0.285841353463193	0.0722753035016561	1.39434102768364e-05	0.000110049716093665
FAM13A	166.67115898162	0.285840339164021	0.102316140548862	0.000815804098389107	0.00422501513426989
ZDHHC14	151.669410065942	0.285731063212718	0.109661113650136	0.00141999462907864	0.00690728356688465
MINDY3	803.733371106694	0.285352310515078	0.113186180599028	0.00180729666666449	0.00847468920084061
ZNF407	2486.9303993667	0.284681846662121	0.0826167221133061	9.59787901921582e-05	0.000630945554950111
POC1B-AS1	74.2995983923873	0.284490333250432	0.099356607199074	0.000660824475471994	0.00351710408880283
TIAM2	407.852648848198	0.284470073461327	0.0915661442384599	0.000305447604704527	0.00177689847735379
CCDC50	535.7974682798	0.283926525365844	0.107315000062992	0.00126777863052956	0.00624809894653322
IPP	65.0968985174496	0.283711804759828	0.0886351951814499	0.000223638704367639	0.00134706966658915
IER5	4699.44243269973	0.282978738208408	0.0836324178090045	0.000119452581957817	0.000768560452271435
ACADSB	147.744309802743	0.282393900911332	0.0847516386634755	0.000142963098765084	0.000902887882194709
B4GALT5	9746.664282533	0.279208271280147	0.102807066264522	0.00103796914643641	0.00522693420388535
TBK1	1504.72161802766	0.27835864315559	0.0592697389699157	5.23448289861853e-07	5.43140293101235e-06
SLCO3A1	7952.50988561279	0.277525769283765	0.110861507654386	0.00192733041889863	0.00894984217992736
CAAP1	217.450722194623	0.277046799004059	0.0746163479961294	3.54621212554669e-05	0.000256564207789201
PRMT7	96.014981435918	0.276677644498817	0.0964155136172704	0.000652178714081298	0.0034791882864757
ATXN7L1	569.097042178501	0.276458677414482	0.109835709241526	0.00185769233359123	0.00867541476531394
INPPL1	2392.26636316976	0.275956545054676	0.082138073900368	0.00012932664223158	0.000827433143829912
SBF2	1729.35172184382	0.275408596226868	0.064857276198462	4.01480109767834e-06	3.52275255376672e-05
MAP2K1P1	70.603918908364	0.275211832835283	0.0890891084187687	0.000323914008121869	0.0018684762072093
IFT172	45.6355021900848	0.274015298651234	0.108739820406582	0.00185035810452307	0.00865098122214649
AKIRIN2	5194.28417425318	0.273416900805455	0.0795923477814217	9.87302634141903e-05	0.000645905321875662
DCPS	93.1176523333819	0.272815991046555	0.0767548393201216	6.39605930381591e-05	0.000438392126033698
MTF1	8383.40436443788	0.272718296280209	0.0768020040788972	6.47734722539427e-05	0.00044293086244504
HNRNPA2B1	7707.17536691963	0.271600662089855	0.0598031140479715	1.05637704368043e-06	1.03751857044241e-05
MRPL1	66.1201795206586	0.270895500925685	0.108309877815485	0.00196278292053677	0.00908167784415665
SBDS	412.850089655628	0.270231978945928	0.0777615635203055	8.523112640561e-05	0.000566262724224033
NUP58	1734.74216649356	0.270171341450403	0.0982196979275711	0.000944609458285642	0.00481572948802908
MPZL1	766.424023001235	0.269531843674647	0.0688579286289763	1.584724126115e-05	0.000123278955081067
TAF7	1810.41460940886	0.269495491064685	0.0553142271550104	2.14975997892386e-07	2.39488150115524e-06
LINC01578	400.89846877672	0.267200093831515	0.0992942559259186	0.0011343788864009	0.00566528639965656
STK36	93.4971311941722	0.266657935697602	0.0899169310882105	0.000484761072164598	0.00267626611775121
SNRNP27	113.047010089052	0.266332946601406	0.0893515990770377	0.000461828341012238	0.00256341514558074
NXT2	262.335364547725	0.265469906214772	0.0963237930576513	0.000934053508221889	0.00476782063636159
RBMS1	2773.06795957265	0.261305446909021	0.0661989711806941	1.36054206967681e-05	0.000107547113429389
PARP11	391.58028099514	0.260691146443799	0.0996967133498142	0.00143495157403654	0.00696686257370831
PDCD4	839.039346868515	0.260133510985986	0.0650891488338508	1.10800317588075e-05	8.92300326689717e-05
ANXA7	2007.98773078268	0.259669572699887	0.0491942814796007	2.51539021036426e-08	3.30924993404444e-07
BACH1	24300.7330050324	0.259200872538794	0.0664395332587582	1.63228655764123e-05	0.000126691543606284
PTPN1	5653.93732275948	0.258665103782648	0.082734724821641	0.000286363212562714	0.00167869215432775
TMEM30A	2875.82553737414	0.257769263658587	0.0768512139331029	0.000130242429133594	0.000832841346852541
ATP1A1	402.08349523034	0.257745687957718	0.0925634825176721	0.000862521774037089	0.00444459003821366
STAMBP	232.24148676266	0.257708174719457	0.0751097480267142	9.87881049738874e-05	0.000645905321875662
FNBP1	4386.68864701689	0.257103802988262	0.102190903939732	0.00192691025780831	0.00894984217992736
EAF2	229.518828973035	0.256583340732224	0.0993785507211927	0.00159109516054204	0.00760506912512761
CALCOCO1	1191.89911668987	0.255811930685013	0.0886577644335812	0.000629979087964346	0.00337475910282592
AMN1	371.89823154	0.253145663917158	0.101495620244256	0.0020663379177916	0.00951375453042738
ACOT9	1259.3760971113	0.253128558161361	0.0644385889135125	1.44369107324255e-05	0.000113596128195177
AC058822.1	476.051085100513	0.25274936605243	0.0876354903714511	0.000633974905968181	0.00339351396077037
RPAP3	166.10869922194	0.251894034399313	0.0789750706116076	0.000231010709349957	0.00138619899550444
PKN2-AS1	43.3944918664024	0.251239349393877	0.0960649437595335	0.00145296423456975	0.00704268364911829
CSGALNACT2	6323.35605463024	0.251235237441384	0.064078706005223	1.48244383897594e-05	0.000116378345786986
NUCB2	242.094681796214	0.25016966388877	0.086698203767746	0.000632342814682863	0.00338565853627754
RAB6D	66.9677803265937	0.249376115082655	0.0904793588283774	0.000949894771590901	0.00483787990600356
SDCBPP3	131.492176718217	0.248895127915683	0.0904992997760802	0.00096796849286247	0.00491775795287363
ERO1B	237.913189794806	0.248377220567862	0.0965157432551458	0.00165262466857208	0.00784958568341161
FCGR2A	2358.99551121556	0.247807767659946	0.0694952123275489	5.94268804663271e-05	0.000410767981253298
RFX5	809.90200106264	0.247725329532465	0.0871737218943829	0.000728177566869774	0.00382511657286507
ANP32E	725.144619231074	0.247603401421797	0.0806621727781626	0.000346992556074827	0.00198822579610015
ADPRH	1046.45490703782	0.247174909440045	0.0869138501390022	0.000723582629779222	0.0038058374719676
BABAM2	759.586191255803	0.246684315175839	0.0560483534597561	1.84074200710503e-06	1.73103782167245e-05
EEA1	753.478741601422	0.24665647796324	0.0777953406478975	0.00024649823006026	0.00147012973383186
MTRF1L	175.338678305943	0.246466726036889	0.0645890877095802	2.24393653273405e-05	0.000169125414276688
ARL6IP6	252.789569003415	0.244402253124134	0.0748150992047879	0.000176422456063875	0.0010897833851607
SNX30	2185.01932050669	0.242521312226414	0.0547187016922221	1.57761448492647e-06	1.49885450385427e-05
ABHD3	340.054651029267	0.241120183255186	0.0825740589476457	0.000570054600433938	0.0030891344373265
UBL3	1761.52153150353	0.240989590227896	0.0562143937724381	3.02688812254264e-06	2.71846953591484e-05
IRF3	460.609679863654	0.240823059112958	0.0731462983419355	0.000161063123661159	0.00100312369647573
TRDMT1	286.166163874369	0.240627237387772	0.0967768687189349	0.00216348978733266	0.00992298827841278
PTER	260.973851526748	0.239950176087618	0.0801814746015741	0.000450003342304682	0.00250250507331382
VPS13C	1897.76374733284	0.23866938828541	0.0683505382557567	7.7826954273336e-05	0.000522298568534951
ATP11B	2636.42715620806	0.238368695374001	0.0675164726001603	6.73065229245412e-05	0.00045796925122201
C11orf71	121.260969345892	0.238024998747488	0.0903898595443719	0.00140529030205412	0.00684546715318787
CLASP2	1471.84077707933	0.236673752458187	0.0706764151711256	0.000131546142981383	0.000840327053084424
SLC25A12	307.999057820172	0.236409308966637	0.085616754889498	0.000950294514074786	0.00483871811967404
DSE	1955.37783895292	0.234336988641178	0.0857856058722217	0.0010453513961734	0.00526282122037286
UBAP2L	2016.88233759912	0.234273028807642	0.0633702319958292	3.53734687165804e-05	0.000256012835846767
CASP4	3365.84393990339	0.234161725718375	0.0635910531105604	3.74512277653772e-05	0.000269533565057853
DEK	1802.4621133228	0.234043249378809	0.0522584882881688	1.24114092200528e-06	1.20517770699296e-05
POLD1	180.394922061676	0.234026975073145	0.0736438223139579	0.000241045647261477	0.0014396967309295
TMED4	1172.86463617371	0.232602964023213	0.0520329142516363	1.2845851227395e-06	1.24255049472876e-05
HK3	6482.573806869	0.232363697596414	0.0740770004310777	0.000278025261787569	0.00163727755768203
MOGS	735.827768642866	0.232279242429793	0.0687149475029261	0.000117222552891594	0.000755866890723108
PAXIP1	150.058672149528	0.231997464839142	0.0898906567421695	0.00166391021167273	0.00789407805288867
NBR1	2376.84477051882	0.231618047539657	0.0711952867464937	0.00018515218339995	0.00113688192349668
EIF1	17145.4608354342	0.231548981673032	0.0768846047131052	0.000425280142482943	0.00238175400428117
TRA2A	1673.56276671582	0.231285012484407	0.0586876268710115	1.31488932905822e-05	0.000104258816318697
LY96	914.751413321511	0.229738279597075	0.0891321227198661	0.0016884490506165	0.00799943073117318
NT5C2	1918.82495529246	0.229323052474359	0.0704076315078336	0.000182831063058227	0.00112565288853563
APLP2	31978.7426689413	0.226642991077601	0.0864430005172245	0.00148567674668269	0.00717252105578201
PDCD6IP	3300.54333180861	0.226185726400804	0.0518740237020618	2.09863288804757e-06	1.94862230615825e-05
ABI1	2880.71546359007	0.22402933367527	0.0589710064222794	2.33636475063139e-05	0.000175193298502155
PTEN	3597.7375786442	0.223565402410618	0.0678772905556232	0.000160909759505864	0.00100299279357548
