"","symbol","baseMean","log2FoldChange","lfcSE","pvalue","padj","ensgene"
"1042","COA5",128.082156347997,-0.294300023238527,0.101261865207487,0.000574026606016471,0.00310738527897787,"ENSG00000183513"
"1043","MTIF3",119.220130385056,-0.29375054776859,0.0789842637820263,3.55121831272055e-05,0.000256836091397321,"ENSG00000122033"
"1044","CES2",345.152253061633,-0.29361785879098,0.0710536737848134,6.84471569761322e-06,5.75314012230758e-05,"ENSG00000172831"
"1045","C16orf87",110.750053431094,-0.293488854863384,0.097801059118439,0.000427709176438681,0.00239340332183908,"ENSG00000155330"
"1046","HIF1AN",806.741668819531,-0.293338173585918,0.0515373430699699,2.98844587533619e-09,4.60256454572735e-08,"ENSG00000166135"
"1047","CISD3",172.755465959691,-0.292458713050186,0.0961094654631175,0.000374387181941886,0.00212039379455994,"ENSG00000277972"
"1048","KAT6A",1911.20213179486,-0.291946153611345,0.100624007863989,0.000584080927425372,0.00315517174132435,"ENSG00000083168"
"1049","FBXO22",126.360503740852,-0.291797819182599,0.0842732847218534,9.09187982018057e-05,0.000600367519833233,"ENSG00000167196"
"1050","WDR24",56.7029359906021,-0.29179156750188,0.0955027903464806,0.000359990576594998,0.00205184656621016,"ENSG00000127580"
"1051","GNL3",254.028843998851,-0.291575956964037,0.0646122713249628,1.2909353517976e-06,1.24764141843999e-05,"ENSG00000163938"
"1052","MRPS30",143.657797397633,-0.291441123210583,0.0883283283990187,0.000160439773301601,0.00100066952878258,"ENSG00000112996"
"1053","MTPAP",230.84371204658,-0.290808659278777,0.0870968789692411,0.000140122303865153,0.000887298739108912,"ENSG00000107951"
"1054","GAB1",316.34391933161,-0.290748229867282,0.1031107297279,0.000750100543337376,0.00393024415067733,"ENSG00000109458"
"1055","FBXW7",2257.97880366672,-0.290747982992361,0.0699823765952004,6.19313027533527e-06,5.25700695318888e-05,"ENSG00000109670"
"1056","AGPAT1",62.0949710463396,-0.290689402541499,0.101928562118831,0.000680467138443196,0.00361137266974651,"ENSG00000204310"
"1057","MBOAT1",506.449411885162,-0.290491951802967,0.0754199300970515,2.12028388531153e-05,0.000160629459588255,"ENSG00000172197"
"1058","CTC1",218.894695553635,-0.290160083758431,0.0735936236420168,1.47693636014368e-05,0.000115990238726398,"ENSG00000178971"
"1059","PPME1",74.1638193426833,-0.289909615939643,0.0895093898683721,0.000197004477514011,0.0012017681972512,"ENSG00000214517"
"1060","PRPF4B",563.043817964248,-0.28967844196729,0.0627665117953732,7.99752325231485e-07,8.02717260681124e-06,"ENSG00000112739"
"1061","PPM1A",1123.3817097289,-0.289381130868562,0.0643086153420511,1.35936124961094e-06,1.30640901784189e-05,"ENSG00000100614"
"1062","SERGEF",159.15544589798,-0.289248870037228,0.0839354290312051,9.6213220453401e-05,0.000632082766299227,"ENSG00000129158"
"1063","MIER3",78.5239477432679,-0.289164051456379,0.0916407173735836,0.000260157354352825,0.00154309533674365,"ENSG00000155545"
"1064","MED23",343.649219294123,-0.289011259989202,0.0671173765337983,3.22128292076911e-06,2.87428956538358e-05,"ENSG00000112282"
"1065","ZNF33A",305.826212328201,-0.288975907932658,0.0983163386790022,0.000520533811831048,0.0028523312149762,"ENSG00000189180"
"1066","RPRD1B",785.277817043132,-0.288862275733141,0.0559456472174076,5.31374917691174e-08,6.5984129791271e-07,"ENSG00000101413"
"1067","LOXL4",76.9459996805656,-0.288852711437002,0.0990705397952914,0.000560279529078631,0.00304446550779189,"ENSG00000138131"
"1068","VTA1",446.941955454078,-0.288607668666664,0.062458035825982,7.76152640454049e-07,7.80934803422128e-06,"ENSG00000009844"
"1069","TMEM138",564.879619387744,-0.288556654372695,0.073929127662771,1.72433929896439e-05,0.000133083291130875,"ENSG00000149483"
"1070","FGFR1OP2",510.489020826301,-0.288082760129543,0.0586495853367429,1.90461035475896e-07,2.14148976281532e-06,"ENSG00000111790"
"1071","RETREG2",1406.01849479927,-0.287527386391369,0.0982435515701484,0.00054189193999824,0.00295755134148641,"ENSG00000144567"
"1072","PAK1IP1",95.8122216206335,-0.286982508243855,0.099384078226225,0.000611921927628957,0.00328916028811218,"ENSG00000111845"
"1073","CHPF2",931.22150953044,-0.286863705965391,0.0639991265945587,1.46081730295794e-06,1.39479242810499e-05,"ENSG00000033100"
"1074","POMK",244.420712422688,-0.286714289476892,0.0873217123723714,0.00016927512628947,0.00104878199293349,"ENSG00000185900"
"1075","HERPUD1",2036.44901822154,-0.28654039547977,0.106612265524399,0.0011173030430426,0.00558678673478602,"ENSG00000051108"
"1076","SMG6",339.714382336694,-0.286413877611499,0.0785258518269092,4.60712820343485e-05,0.000326321066829176,"ENSG00000070366"
"1077","AAR2",593.58697024234,-0.286148909473797,0.0566114335335659,9.20960460603907e-08,1.10300829088393e-06,"ENSG00000131043"
"1078","POLR1C",97.8873314315881,-0.28608508124389,0.101907212381093,0.000782736607391745,0.00406912289886118,"ENSG00000171453"
"1079","NAA30",192.665626747741,-0.285894868010588,0.089647794247501,0.000232682581315446,0.00139541731073932,"ENSG00000139977"
"1080","MAP3K21",77.2282155124629,-0.28568264224997,0.104422743771391,0.0009703204436932,0.00492605809263046,"ENSG00000143674"
"1081","RAPGEF1",9871.62629581305,-0.285425795455853,0.0656156445220811,2.62979637538e-06,2.39533821247538e-05,"ENSG00000107263"
"1082","ZNF160",162.005037556335,-0.285339737905906,0.0748182866884475,2.43686922653417e-05,0.000182132296422692,"ENSG00000170949"
"1083","GNA13",6807.16178299497,-0.28533860733301,0.0704889998068135,9.53192265194413e-06,7.75519337629112e-05,"ENSG00000120063"
"1084","KMT5B",744.289476004417,-0.285076687351761,0.0788122969722587,5.14775335274269e-05,0.000360886449696878,"ENSG00000110066"
"1085","IFFO1",402.418177820936,-0.284595200310519,0.0904239502742241,0.00026726469914867,0.00158024093381696,"ENSG00000010295"
"1086","RSBN1L",250.51105488352,-0.284420836004288,0.0719341042159627,1.39575127174122e-05,0.000110118781316516,"ENSG00000187257"
"1087","TTLL4",959.812136381666,-0.284230701408904,0.0726102617893479,1.63444634090402e-05,0.000126779865651146,"ENSG00000135912"
